"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11566","@web loginvalidation laskhmipriya","chromium","2026-06-01","passed","2026-06-01","","Loginvalidation.spec.js","",""
"","12731","@web loginvalidation adhiya","chromium","2026-06-01","passed","2026-06-01","","Loginvalidation.spec.js","",""
